target,target_name,model_name,train_roc_auc,val_roc_auc,test_roc_auc,overfit_gap,test_pr_auc,test_f1,test_recall,test_precision,test_specificity,test_balanced_accuracy,brier_score_raw,brier_score_calibrated,ece_raw,ece_calibrated,optimal_threshold,confusion_matrix
target_magnesium_deficiency,Magnesium Deficiency,XGBoost,0.9377940200470432,0.6415179881057151,0.6557057897965171,0.2820882302505261,0.16646931544525637,0.22869955156950672,0.5862068965517241,0.14206128133704735,0.642691415313225,0.6144491559324745,0.16849784553050995,0.08160729706287384,0.27995785295146786,0.02052354011822049,0.3990107774734497,"{'tn': 554, 'fp': 308, 'fn': 36, 'tp': 51}"
target_magnesium_deficiency,Magnesium Deficiency,LightGBM,0.7833291853326696,0.5586913619756247,0.6109755447102435,0.17235364062242609,0.1315739011307623,0.1991869918699187,0.5632183908045977,0.12098765432098765,0.5870069605568445,0.5751126756807211,0.08290528334528371,0.08325345558311328,0.018757275297634723,3.9957593310907535e-06,0.11610569025917454,"{'tn': 506, 'fp': 356, 'fn': 38, 'tp': 49}"
target_magnesium_deficiency,Magnesium Deficiency,Random Forest,0.9859175377468061,0.6282502600208015,0.6903218924180601,0.29559564532874605,0.1713918121812417,0.23504273504273504,0.632183908045977,0.14435695538057744,0.6218097447795824,0.6269968264127797,0.1542481073827427,0.08141478962201233,0.2632264251056756,0.030358482718208707,0.3782560474793297,"{'tn': 536, 'fp': 326, 'fn': 32, 'tp': 55}"
target_magnesium_deficiency,Magnesium Deficiency,Logistic Regression,0.7637292721966835,0.713563751766808,0.72932501266768,0.0344042595290035,0.20996697374001844,0.28402366863905326,0.5517241379310345,0.19123505976095617,0.7645011600928074,0.6581126490119209,0.2038938433205935,0.07868495855492508,0.32778068593049475,0.016592403143037126,0.5671189403891892,"{'tn': 659, 'fp': 203, 'fn': 39, 'tp': 48}"
target_potassium_deficiency,Potassium Deficiency,XGBoost,0.9421793528963982,0.6877779189429553,0.6975606657349764,0.24461868716142177,0.06903136010539954,0.0,0.0,0.0,0.9967602591792657,0.49838012958963285,0.19236129522323608,0.017680151388049126,0.4144985794641812,1.721232260398775e-05,0.5841242074966431,"{'tn': 923, 'fp': 3, 'fn': 17, 'tp': 0}"
target_potassium_deficiency,Potassium Deficiency,LightGBM,0.860993778510391,0.6589378732054376,0.7175390674628382,0.1434547110475528,0.04524983298824533,0.09803921568627451,0.29411764705882354,0.058823529411764705,0.9136069114470843,0.6038622792529539,0.020143435049030486,0.017690395707426632,0.038048046969511154,1.6893727222376531e-06,0.15171259284794433,"{'tn': 846, 'fp': 80, 'fn': 12, 'tp': 5}"
target_potassium_deficiency,Potassium Deficiency,Random Forest,0.999275972000435,0.6690382416465506,0.7383432854783382,0.2609326865220969,0.06121226307939005,0.06190476190476191,0.7647058823529411,0.03225806451612903,0.5788336933045356,0.6717697878287383,0.09124878971774825,0.01762869534357812,0.2400708916286756,1.4731819435322147e-05,0.27395769337775766,"{'tn': 536, 'fp': 390, 'fn': 4, 'tp': 13}"
target_potassium_deficiency,Potassium Deficiency,Logistic Regression,0.8576097345993807,0.5043831787574642,0.6378477957057553,0.21976193889362539,0.05338612417229518,0.07111111111111111,0.47058823529411764,0.038461538461538464,0.7840172786177105,0.6273027569559141,0.18303943712428422,0.017699218029063307,0.3221636169531284,4.771810803549589e-05,0.568299774010504,"{'tn': 726, 'fp': 200, 'fn': 9, 'tp': 8}"
target_selenium_deficiency,Selenium Deficiency,XGBoost,0.9795023824994586,0.7332416267942584,0.7130024964419869,0.26649988605747177,0.08929958928661987,0.18666666666666668,0.1794871794871795,0.19444444444444445,0.9736123748862603,0.5765497771867198,0.10938718914985657,0.0324624702334404,0.24528484853059837,0.0013856722569004704,0.6743795871734619,"{'tn': 1070, 'fp': 29, 'fn': 32, 'tp': 7}"
target_selenium_deficiency,Selenium Deficiency,LightGBM,0.8816975308641977,0.6388516746411482,0.6371526562609364,0.24454487460326124,0.06260492213433937,0.06557377049180328,0.05128205128205128,0.09090909090909091,0.9818016378525932,0.5165418445673222,0.03323594377907281,0.033077343922472274,0.019846372713069823,0.000887361962215831,0.12286847115951306,"{'tn': 1079, 'fp': 20, 'fn': 37, 'tp': 2}"
target_selenium_deficiency,Selenium Deficiency,Random Forest,0.9945191682910981,0.715311004784689,0.7207484659713959,0.27377070231970224,0.06970331061889867,0.1206896551724138,0.1794871794871795,0.09090909090909091,0.9363057324840764,0.557896455985628,0.0947933023908733,0.03277196173706759,0.21592954712491125,0.0030835426970594157,0.4893687678818781,"{'tn': 1029, 'fp': 70, 'fn': 32, 'tp': 7}"
target_selenium_deficiency,Selenium Deficiency,Logistic Regression,0.8354764998917045,0.7435406698564593,0.7707006369426751,0.06477586294902937,0.13065788083613114,0.18518518518518517,0.38461538461538464,0.12195121951219512,0.9017288444040037,0.6431721145096941,0.17953705618963345,0.03194356451081073,0.3185523587992135,0.002847261774850002,0.725269451532388,"{'tn': 991, 'fp': 108, 'fn': 24, 'tp': 15}"
target_calcium_deficiency,Calcium Deficiency,XGBoost,0.9913602941176471,0.4812386980108499,0.7594936708860759,0.23186662323157126,0.03658671076549321,0.0,0.0,0.0,0.9957805907172996,0.4978902953586498,0.13833776116371155,0.007275574374943972,0.35859162167728886,7.038975075979517e-05,0.5953545570373535,"{'tn': 944, 'fp': 4, 'fn': 7, 'tp': 0}"
target_calcium_deficiency,Calcium Deficiency,LightGBM,1.0,0.5907172995780591,0.7386980108499096,0.2613019891500904,0.018119128910431492,0.0,0.0,0.0,0.9989451476793249,0.4994725738396624,0.008956480057268484,0.007276158308828634,0.007744568575266697,9.01728296160715e-05,0.341407151640799,"{'tn': 947, 'fp': 1, 'fn': 7, 'tp': 0}"
target_calcium_deficiency,Calcium Deficiency,Random Forest,0.9999858597285068,0.4635322483423749,0.6773658830620856,0.3226199766664213,0.017085731745717817,0.03314917127071823,0.42857142857142855,0.017241379310344827,0.819620253164557,0.6240958408679927,0.040203697528040976,0.007277092842178298,0.1325694915330151,5.3007729407730277e-05,0.2177248824327834,"{'tn': 777, 'fp': 171, 'fn': 4, 'tp': 3}"
target_calcium_deficiency,Calcium Deficiency,Logistic Regression,0.936206165158371,0.5067811934900542,0.6267329716696806,0.3094731934886904,0.014666097872940875,0.0,0.0,0.0,0.9683544303797469,0.48417721518987344,0.12120746019893873,0.007273953129773163,0.20069858468434487,3.700010699601505e-05,0.9,"{'tn': 918, 'fp': 30, 'fn': 7, 'tp': 0}"
