target,target_name,model_name,role,optimal_threshold,test_roc_auc,test_pr_auc,test_brier_score,test_precision_opt,test_recall_opt,test_f1_opt,test_f2_opt,test_specificity,test_precision_default_05,test_recall_default_05,test_f1_default_05,confusion_matrix,calibration
target_magnesium_deficiency,Magnesium Deficiency,CatBoost,Challenger,0.5091299097433324,0.6798277195508974,0.17274597336160652,0.19689727263959708,0.1511627906976744,0.4482758620689655,0.22608695652173913,0.3217821782178218,0.7459396751740139,0.16206896551724137,0.5402298850574713,0.2493368700265252,"{'tn': 643, 'fp': 219, 'fn': 48, 'tp': 39}","{'prob_true': [0.0, 0.04497354497354497, 0.11333333333333333, 0.21839080459770116], 'prob_pred': [0.15476360874330897, 0.3181579114216861, 0.4913437945777571, 0.646533302019138]}"
target_magnesium_deficiency,Magnesium Deficiency,ElasticNet_LogisticRegression,Baseline,0.5671189403891892,0.72932501266768,0.20996697374001844,0.2038938433205935,0.19123505976095617,0.5517241379310345,0.28402366863905326,0.4006677796327212,0.7645011600928074,0.17647058823529413,0.6551724137931034,0.2780487804878049,"{'tn': 659, 'fp': 203, 'fn': 39, 'tp': 48}","{'prob_true': [0.028169014084507043, 0.04081632653061224, 0.11923076923076924, 0.15853658536585366, 0.3], 'prob_pred': [0.14609091457477694, 0.29873966570703897, 0.4925857678449808, 0.6848915879093563, 0.8614183921019345]}"
target_potassium_deficiency,Potassium Deficiency,LightGBM,Champion,0.15171259284794433,0.7175390674628382,0.04524983298824533,0.020143435049030486,0.058823529411764705,0.29411764705882354,0.09803921568627451,0.16339869281045752,0.9136069114470843,0.0,0.0,0.0,"{'tn': 846, 'fp': 80, 'fn': 12, 'tp': 5}","{'prob_true': [0.018027571580063628], 'prob_pred': [0.05607561854957512]}"
target_potassium_deficiency,Potassium Deficiency,XGBoost,Challenger,0.5841242074966431,0.6975606657349764,0.06903136010539954,0.19236129522323608,0.0,0.0,0.0,0.0,0.9967602591792657,0.043010752688172046,0.47058823529411764,0.07881773399014778,"{'tn': 923, 'fp': 3, 'fn': 17, 'tp': 0}","{'prob_true': [0.005698005698005698, 0.02533783783783784], 'prob_pred': [0.36106152335802716, 0.47489792496167327]}"
target_potassium_deficiency,Potassium Deficiency,CatBoost,Challenger,0.5685649072891569,0.743266421039258,0.059224899338994025,0.2053897927512477,0.0,0.0,0.0,0.0,0.9978401727861771,0.037037037037037035,0.7058823529411765,0.07038123167155426,"{'tn': 924, 'fp': 2, 'fn': 17, 'tp': 0}","{'prob_true': [0.003861003861003861, 0.023391812865497075], 'prob_pred': [0.3330796538402015, 0.4886901269544024]}"
target_potassium_deficiency,Potassium Deficiency,ElasticNet_LogisticRegression,Baseline,0.568299774010504,0.6378477957057553,0.05338612417229518,0.18303943712428422,0.038461538461538464,0.47058823529411764,0.07111111111111111,0.14492753623188406,0.7840172786177105,0.03088803088803089,0.47058823529411764,0.057971014492753624,"{'tn': 726, 'fp': 200, 'fn': 9, 'tp': 8}","{'prob_true': [0.010958904109589041, 0.017937219730941704, 0.005780346820809248, 0.032, 0.07017543859649122], 'prob_pred': [0.08796160847630817, 0.2988729840533406, 0.49302634585011246, 0.6933198429567347, 0.878720878024409]}"
target_selenium_deficiency,Selenium Deficiency,LightGBM,Champion,0.12286847115951306,0.6371526562609364,0.06260492213433937,0.03323594377907281,0.09090909090909091,0.05128205128205128,0.06557377049180328,0.056179775280898875,0.9818016378525932,0.0,0.0,0.0,"{'tn': 1079, 'fp': 20, 'fn': 37, 'tp': 2}","{'prob_true': [0.03427065026362039], 'prob_pred': [0.05411702297669014]}"
target_selenium_deficiency,Selenium Deficiency,XGBoost,Challenger,0.6743795871734619,0.7130024964419869,0.08929958928661987,0.10938718914985657,0.19444444444444445,0.1794871794871795,0.18666666666666668,0.18229166666666666,0.9736123748862603,0.09836065573770492,0.3076923076923077,0.14906832298136646,"{'tn': 1070, 'fp': 29, 'fn': 32, 'tp': 7}","{'prob_true': [0.008676789587852495, 0.041304347826086954, 0.0410958904109589, 0.14516129032258066, 0.1111111111111111], 'prob_pred': [0.1506527931694095, 0.28206156106746716, 0.4761244381127292, 0.6778195644578626, 0.8217686216036478]}"
target_selenium_deficiency,Selenium Deficiency,CatBoost,Challenger,0.7082420189562708,0.6968922796948275,0.08734643264509069,0.15871291484281863,0.1794871794871795,0.1794871794871795,0.1794871794871795,0.1794871794871795,0.9708826205641492,0.07582938388625593,0.41025641025641024,0.128,"{'tn': 1067, 'fp': 32, 'fn': 32, 'tp': 7}","{'prob_true': [0.0, 0.027586206896551724, 0.034482758620689655, 0.12244897959183673, 0.0], 'prob_pred': [0.15863023875857904, 0.2982363788872771, 0.4809193101291038, 0.6888276109916839, 0.8047077359386384]}"
target_selenium_deficiency,Selenium Deficiency,ElasticNet_LogisticRegression,Baseline,0.725269451532388,0.7707006369426751,0.13065788083613114,0.17953705618963345,0.12195121951219512,0.38461538461538464,0.18518518518518517,0.26881720430107525,0.9017288444040037,0.07941176470588235,0.6923076923076923,0.1424802110817942,"{'tn': 991, 'fp': 108, 'fn': 24, 'tp': 15}","{'prob_true': [0.010075566750629723, 0.016722408026755852, 0.028037383177570093, 0.0935672514619883, 0.14035087719298245], 'prob_pred': [0.0948805544164924, 0.29638295190032354, 0.5005618485630452, 0.6979529841699007, 0.8553737843230893]}"
target_calcium_deficiency,Calcium Deficiency,LightGBM,Champion,0.341407151640799,0.7386980108499096,0.018119128910431492,0.008956480057268484,0.0,0.0,0.0,0.0,0.9989451476793249,0.0,0.0,0.0,"{'tn': 947, 'fp': 1, 'fn': 7, 'tp': 0}","{'prob_true': [0.007383966244725738, 0.0, 0.0], 'prob_pred': [0.0051459864587921665, 0.25257184330870863, 0.9611208761518314]}"
target_calcium_deficiency,Calcium Deficiency,XGBoost,Challenger,0.5953545570373535,0.7594936708860759,0.03658671076549321,0.13833776116371155,0.0,0.0,0.0,0.0,0.9957805907172996,0.07407407407407407,0.2857142857142857,0.11764705882352941,"{'tn': 944, 'fp': 4, 'fn': 7, 'tp': 0}","{'prob_true': [0.002758620689655172, 0.021834061135371178, 0.0], 'prob_pred': [0.33948384749478305, 0.44858214714641653, 0.6039237380027771]}"
target_calcium_deficiency,Calcium Deficiency,CatBoost,Challenger,0.4924056564390344,0.40295358649789026,0.006856414406316562,0.23123231283308696,0.003355704697986577,0.14285714285714285,0.006557377049180328,0.015337423312883436,0.6867088607594937,0.006172839506172839,0.14285714285714285,0.011834319526627219,"{'tn': 651, 'fp': 297, 'fn': 6, 'tp': 1}","{'prob_true': [0.007329842931937173], 'prob_pred': [0.4798337548846283]}"
target_calcium_deficiency,Calcium Deficiency,ElasticNet_LogisticRegression,Baseline,0.9,0.6267329716696806,0.014666097872940875,0.12120746019893873,0.0,0.0,0.0,0.0,0.9683544303797469,0.019736842105263157,0.42857142857142855,0.03773584905660377,"{'tn': 918, 'fp': 30, 'fn': 7, 'tp': 0}","{'prob_true': [0.0046801872074883, 0.0, 0.02666666666666667, 0.03225806451612903, 0.0], 'prob_pred': [0.04326691397538935, 0.29710489566743187, 0.4918271706853953, 0.6924435842791092, 0.8990884887218052]}"
